编号,姓名代称,性别,年级,专业,主要用途,最不满意的体验,最想改的一个地方,提及痛点类别
P01,小李,男,大三,计算机科学与技术,"写代码debug、查技术文档、做课程作业","让它帮我查一个Python库的最新API用法，它给我返回了2021年的旧版文档，害我调了半天才发现接口早就变了","搜索结果要更准，优先返回最新版本的官方文档","搜索不准确"
P02,小陈,女,研二,金融学,"读研报、总结行业动态、写文献综述","上传了一份30页的投行研报让它总结，它只提取了前5页的内容，后面完全忽略了，还自信满满地说'该报告主要讨论了...'","文件处理能力要靠谱，别漏内容","文件识别差"
P03,小张,男,大二,汉语言文学,"写论文提纲、润色文章、查古诗词出处","问它'春江花月夜'的创作背景，它写了三大段，先是介绍张若虚生平，再讲唐代诗歌流派，最后才提到正题，我看了一半就关掉了","回答简洁一点，先说重点","回答太啰嗦"
P04,小王,女,研一,临床医学,"查医学文献、整理病例分析、备考执医","搜索某罕见病的诊疗指南，返回的前三条结果全是不相关的科普文章，真正的临床指南排在第五位以后","搜索结果相关性排序要做好","搜索不准确"
P05,小赵,男,大四,法学,"查法条、分析案例、准备法考","让它对比两个相似案情的判例差异，它洋洋洒洒写了两千字但关键差异只有三处，其他全是废话","精简回答，直给结论","回答太啰嗦"
P06,小刘,女,大三,教育学,"备课找素材、写教案、批改模拟作业","上传了一份PDF教案让它转成表格，排版全乱了，表格里的数据还串行了","文件格式转换要准确","文件识别差"
P07,小孙,男,研三,视觉传达设计,"找设计灵感、查配色方案、写设计说明","搜索'2024平面设计趋势'，返回的内容混杂了2020年的过时信息，没有任何时效性标注","搜索结果要标注时间，按新鲜度排序","搜索不准确"
P08,小周,女,大二,应用化学,"查实验方案、计算化学题、预习专业课","问它一个有机化学反应机理，回复像教科书一样从头讲到尾，但我就想知道那一步电子转移是怎么回事","支持追问模式，先给摘要再展开","回答太啰嗦"
P09,小吴,男,研一,英语语言文学,"翻译文献、语法纠错、写英文摘要","让它把一篇中文论文摘要翻译成英文，结果术语翻译错误百出，'话语分析'翻译成了'speech analysis'而不是'discourse analysis'","专业术语翻译要准确","搜索不准确"
P10,小郑,女,大四,新闻传播学,"追热点找素材、写新闻稿、整理采访纪要","上传了一段1小时的采访录音转文字，转出来缺了将近三分之二的内容，中间大段大段空白","语音转文字别丢内容","文件识别差"
P11,小冯,男,大三,物理学,"推导公式、解物理题、看论文","问它薛定谔方程在球坐标系下的推导，回答像写论文一样完整，但我就想知道关键的那一步分离变量怎么来的","先给核心答案，再补充细节","回答太啰嗦"
P12,小陈2,女,研二,工商管理,"做案例分析、写商业计划书、准备pre","让它搜索竞品A的最新财报数据，给的是2022年的老数据，完全没有提示信息可能过时","搜索结果要有时效性标记","搜索不准确"
P13,小林,男,大一,心理学,"查文献摘要、理解统计方法、做课程作业","让它解释一个心理学实验设计的统计方法，绕了八百圈才说到点子上，看完更糊涂了","逻辑清晰，先结论后解释","回答太啰嗦"
P14,小何,女,研三,历史学,"查史料、整理文献综述、校对论文","上传古籍扫描PDF让它识别文字，竖排文言文识别率不到50%，标点全错","古籍OCR识别要提升","文件识别差"
P15,小马,男,大二,生物科学,"查实验protocol、看论文、写实验报告","搜索一个基因编辑技术的最新进展，返回结果里混杂了大量科普号内容，没有筛选学术来源","搜索结果支持按来源类型筛选","搜索不准确"
